employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Danielle,Johnson,Female,Mombasa,Likoni,2016-04-16,Sales,Sales Representative,Bachelor,60315,Needs Improvement,Yes,2003-03-06,2021-07-05
00-42868828,John,Taylor,Female,Nakuru,Naivasha,2017-02-09,Customer Service,Support Specialist,Bachelor,59715,Good,No,1981-10-13,2019-06-14
00-83197857,Erica,Mcclain,Male,Nairobi,Embakasi,2016-02-03,Customer Service,Help Desk Technician,Bachelor,88164,Good,No,1997-06-09,2021-03-06
00-13999315,Brittany,Johnson,Male,Bungoma,Webuye,2016-02-06,Operations,Inventory Specialist,Bachelor,62872,Satisfactory,Yes,1976-05-09,2018-11-06
00-90801586,Jeffery,Wagner,Female,Bungoma,Webuye,2015-01-11,Marketing,Content Creator,Bachelor,61993,Satisfactory,No,1982-04-28,2017-11-29
00-97226012,Anna,Baldwin,Female,Nairobi,Nairobi,2022-09-30,Operations,Logistics Coordinator,Bachelor,58713,Good,No,1978-06-21,2023-03-29
00-70291817,Amy,Robinson,Female,Nairobi,Ruaraka,2020-08-16,Marketing,Content Creator,Bachelor,65204,Good,Yes,1978-08-06,2021-02-12
00-31429110,Joshua,Booth,Male,Nairobi,Embakasi,2022-10-22,Marketing,Content Creator,Bachelor,68564,Satisfactory,No,1999-10-10,2023-04-20
00-30868105,Linda,Wolfe,Female,Kiambu,Ruiru,2017-05-13,IT,System Administrator,Bachelor,90638,Good,Yes,1976-05-31,2021-11-15
00-22448136,Joshua,Lewis,Male,Nairobi,Embakasi,2018-10-24,Operations,Operations Analyst,Bachelor,89827,Satisfactory,No,2003-12-12,2022-03-30
00-56164955,Matthew,Davis,Female,Bungoma,Chwele,2021-02-07,Marketing,Content Creator,Bachelor,63716,Satisfactory,Yes,1983-03-01,2021-08-06
00-71662963,Michael,Cooper,Male,Kisumu,Milimani,2020-04-12,Finance,Financial Analyst,PhD,92468,Good,No,1969-05-17,2024-01-28
00-84093639,Lindsay,Blair,Male,Kisumu,Nyalenda,2017-07-28,IT,Software Developer,Bachelor,109300,Good,No,1992-06-16,2018-01-24
00-58537831,David,Nielsen,Female,Bungoma,Kimilili,2020-01-31,Operations,Inventory Specialist,Bachelor,56878,Needs Improvement,No,1983-08-16,2020-07-29
00-16150444,Andrea,Calderon,Male,Mombasa,Changamwe,2022-08-29,Sales,Sales Representative,Bachelor,75209,Satisfactory,No,1979-06-12,2023-02-25
00-41244663,Nicole,Ward,Female,Mombasa,Nyali,2023-03-16,Sales,Sales Specialist,Master,85236,Satisfactory,Yes,1981-01-03,2023-09-12
00-70855700,Janet,Williams,Male,Nairobi,Dagoreti,2021-03-30,Finance,Financial Analyst,PhD,71485,Needs Improvement,No,1991-01-16,2021-09-26
00-59684848,Kendra,Galloway,Male,Mombasa,Likoni,2018-11-29,Customer Service,Support Specialist,Bachelor,61103,Satisfactory,No,2002-04-22,2019-12-08
00-96977837,Jesse,Garcia,Male,Nairobi,Kasarani,2016-04-17,Sales,Sales Specialist,PhD,56985,Satisfactory,No,1997-02-24,2023-01-29
00-81691040,Shawn,Flowers,Male,Kisumu,Nyalenda,2022-03-05,Sales,Sales Specialist,PhD,78087,Good,No,1960-07-19,2022-09-01
00-60929647,Mitchell,Clark,Female,Nairobi,Nairobi,2017-04-14,Operations,Inventory Specialist,Bachelor,60063,Satisfactory,No,1999-10-05,2024-06-16
00-84752529,Jacqueline,Sutton,Male,Bungoma,Naitiri,2017-01-28,Operations,Inventory Specialist,Bachelor,68411,Satisfactory,Yes,1997-07-20,2022-08-06
00-17507864,Chelsea,Jackson,Female,Mombasa,Likoni,2017-10-11,Sales,Sales Consultant,Master,75304,Satisfactory,No,1972-07-31,2018-04-09
00-52339391,John,Ford,Female,Nairobi,Embakasi,2019-04-15,IT,Software Developer,Master,97975,Satisfactory,Yes,1973-08-05,2019-10-12
00-86125617,Veronica,Bowman,Female,Kisumu,Kisumu,2023-08-05,Customer Service,Support Specialist,High School,63399,Satisfactory,Yes,1986-05-07,2024-02-06
00-97971488,Jeffrey,Nguyen,Male,Nairobi,Kasarani,2020-10-25,Marketing,Content Creator,High School,57744,Good,No,1995-01-08,2021-10-27
00-29175900,Kimberly,Perez,Female,Nairobi,Nairobi,2017-01-13,Sales,Sales Specialist,PhD,88579,Excellent,No,1996-12-10,2017-08-24
00-85345555,Linda,Morales,Female,Nairobi,Kasarani,2020-01-26,Sales,Sales Specialist,Master,75185,Good,No,1991-05-11,2021-04-09
00-67503414,Jason,Hahn,Male,Mombasa,Kisauni,2023-12-07,Finance,Financial Analyst,PhD,77289,Satisfactory,No,1998-02-15,2024-06-04
00-39436733,Jennifer,Lewis,Male,Nairobi,Embakasi,2024-07-12,Sales,Sales Consultant,Bachelor,78608,Satisfactory,No,2003-10-09,2025-01-08
00-76238574,Randall,Rocha,Male,Mombasa,Nyali,2016-06-27,Operations,Inventory Specialist,High School,62325,Good,Yes,2004-10-16,2021-05-10
00-24716857,Douglas,Taylor,Female,Kakamega,Malava,2017-10-17,Operations,Logistics Coordinator,Bachelor,57998,Good,No,1987-08-07,2021-11-16
00-66661351,Anna,Baker,Female,Uasin Gishu,Eldoret,2020-08-15,Operations,Logistics Coordinator,Bachelor,59482,Needs Improvement,No,1983-06-02,2022-11-17
00-89978790,Ross,Silva,Female,Bungoma,Chwele,2024-05-20,Sales,Sales Specialist,Bachelor,81092,Needs Improvement,No,1975-12-20,2024-11-16
00-84252722,Jeffrey,Bright,Female,Nairobi,Ruaraka,2023-07-17,IT,IT Support Specialist,High School,68229,Good,No,1974-06-12,2024-01-13
00-25374874,Trevor,Campos,Male,Kiambu,Ruiru,2022-12-01,Operations,Logistics Coordinator,Bachelor,67828,Good,Yes,1999-03-12,2023-05-30
00-45812670,Daniel,Burton,Male,Kisumu,Milimani,2022-11-04,Sales,Sales Manager,PhD,79519,Good,No,1961-07-14,2024-02-14
00-49392920,Erin,Carlson,Female,Nairobi,Dagoreti,2019-05-30,Marketing,SEO Specialist,Bachelor,79677,Excellent,No,2004-04-10,2021-04-29
00-45351479,Patrick,Ferrell,Female,Kisumu,Milimani,2024-07-24,Sales,Sales Specialist,Master,85074,Good,No,2005-06-10,2025-01-20
00-24282218,John,Tran,Female,Kisumu,Milimani,2023-01-05,Operations,Operations Analyst,Bachelor,76444,Needs Improvement,No,1973-02-05,2024-01-25
00-95758349,Erin,Wilson,Female,Nairobi,Embakasi,2020-12-09,Sales,Sales Consultant,Master,97147,Good,No,1968-09-05,2021-12-11
00-60185867,Amanda,Adams,Female,Mombasa,Nyali,2022-09-06,Operations,Logistics Coordinator,Bachelor,56585,Good,No,1985-12-01,2023-03-05
00-81182864,Matthew,Carter,Female,Nairobi,Dagoreti,2024-03-02,Sales,Sales Consultant,PhD,83440,Satisfactory,No,1989-12-17,2024-09-19
00-75579548,Shawn,Mckay,Female,Nairobi,Ruaraka,2015-12-07,Customer Service,Help Desk Technician,High School,57892,Excellent,No,2000-05-09,2023-03-13
00-51273847,Jennifer,Stanton,Male,Nairobi,Nairobi,2017-10-23,Sales,Sales Representative,Bachelor,65802,Satisfactory,No,2000-12-30,2018-12-02
00-20570592,Guy,Gaines,Male,Nairobi,Ruaraka,2016-12-04,Sales,Sales Consultant,Master,66867,Good,No,1983-11-05,2017-06-02
00-19289546,Colleen,Skinner,Male,Kisumu,Kisumu,2024-07-16,Operations,Inventory Specialist,High School,57780,Good,No,1978-12-22,2025-01-12
00-26879290,Chelsea,Hernandez,Male,Nairobi,Dagoreti,2016-10-23,IT,Software Developer,Master,83253,Good,No,1993-11-09,2019-06-05
00-32162965,Evan,Ashley,Male,Mombasa,Kisauni,2017-12-25,Customer Service,Customer Service Representative,Bachelor,64685,Satisfactory,No,1989-10-07,2018-12-07
00-38427073,Alyssa,Smith,Male,Uasin Gishu,Turbo,2024-05-05,Customer Service,Help Desk Technician,High School,79750,Good,No,1987-05-15,2024-11-01
00-36998038,Tracy,Rodriguez,Male,Uasin Gishu,Soy,2022-05-21,Operations,Operations Analyst,Master,84400,Satisfactory,No,1977-11-28,2022-11-17
00-97225156,Natasha,Decker,Female,Nairobi,Kasarani,2018-04-30,Sales,Sales Consultant,Bachelor,99471,Satisfactory,No,1974-08-26,2023-11-16
00-26240908,John,Allen,Male,Kisumu,Nyalenda,2017-08-09,Operations,Inventory Specialist,High School,57011,Good,No,1988-02-05,2018-02-05
00-12823170,Stacey,Miller,Female,Kisumu,Maseno,2020-07-07,Finance,Financial Analyst,PhD,94651,Good,No,1990-07-12,2024-12-14
00-39557077,Lisa,Spence,Male,Kisumu,Kisumu,2015-07-26,Customer Service,Support Specialist,Bachelor,61630,Good,No,1989-09-15,2023-12-18
00-17901903,Katie,Anderson,Male,Kisumu,Nyalenda,2017-07-04,IT,Software Developer,Master,83685,Satisfactory,No,1992-01-16,2021-12-29
00-54349361,Stacey,Martin,Female,Nairobi,Ruaraka,2016-07-23,Sales,Sales Consultant,Bachelor,63513,Satisfactory,No,2002-04-17,2017-10-15
00-99788677,Monique,Henderson,Female,Uasin Gishu,Soy,2019-03-24,Operations,Logistics Coordinator,Bachelor,62205,Good,No,1992-07-15,2019-09-20
00-86644106,Sarah,Campos,Female,Kisumu,Milimani,2020-09-24,Sales,Sales Representative,Bachelor,55485,Satisfactory,No,1971-06-29,2022-09-02
00-73481353,James,Collins,Female,Bungoma,Chwele,2023-09-18,Customer Service,Help Desk Technician,Bachelor,72139,Good,No,1976-06-05,2024-03-16
00-23009833,Debra,Kim,Female,Nairobi,Embakasi,2022-07-21,Customer Service,Customer Service Manager,Master,82016,Needs Improvement,No,1973-02-17,2023-01-17
00-65177213,Shannon,Wright,Male,Nairobi,Dagoreti,2019-01-25,Sales,Sales Specialist,Bachelor,82178,Satisfactory,No,1982-12-25,2022-12-12
00-97705310,Matthew,Chapman,Male,Mombasa,Mombasa,2024-03-30,Operations,Inventory Specialist,High School,64716,Satisfactory,No,1976-10-10,2024-09-26
00-64038913,Brianna,Smith,Female,Uasin Gishu,Eldoret,2022-10-02,Operations,Logistics Coordinator,Bachelor,55239,Good,No,2001-02-08,2023-03-31
00-35714784,Crystal,Perez,Male,Nakuru,Gilgil,2017-12-18,Marketing,SEO Specialist,Bachelor,89341,Good,No,1997-07-28,2018-06-16
00-66623995,Anthony,Rivera,Female,Nairobi,Nairobi,2017-07-19,Sales,Sales Specialist,Master,91158,Excellent,Yes,1983-02-25,2021-05-16
00-20117988,John,Caldwell,Female,Mombasa,Nyali,2019-03-25,Customer Service,Customer Service Representative,High School,63414,Good,Yes,1981-11-09,2019-09-21
00-16789850,Amber,Cummings,Male,Mombasa,Nyali,2022-12-09,Operations,Inventory Specialist,High School,61336,Good,Yes,1973-08-01,2023-06-07
00-11980765,Ashley,Kennedy,Male,Nairobi,Dagoreti,2024-10-31,Customer Service,Support Specialist,High School,59405,Satisfactory,Yes,1966-04-14,2025-04-29
00-64547971,Thomas,Russell,Male,Bungoma,Chwele,2019-02-06,Customer Service,Support Specialist,High School,57731,Good,No,1992-01-25,2021-03-05
00-63826716,Collin,Jordan,Male,Nakuru,Naivasha,2023-06-14,IT,IT Support Specialist,Bachelor,71227,Excellent,No,1994-10-04,2023-12-11
00-10289289,Robert,Shields,Female,Kisumu,Kisumu,2024-01-22,Customer Service,Help Desk Technician,Bachelor,74376,Needs Improvement,Yes,2002-08-19,2024-07-20
00-71070189,Emily,Joyce,Female,Nairobi,Embakasi,2017-02-08,Marketing,Marketing Coordinator,Bachelor,55498,Satisfactory,Yes,1980-09-19,2023-08-27
00-84593961,Bruce,Chandler,Male,Kisumu,Maseno,2022-11-07,Operations,Operations Analyst,Bachelor,75371,Good,No,1986-02-19,2023-05-06
